Font_Name,Font_Pv_Image,Title_Works_In_URL,Image,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63
Akshar,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAIAAAABACAAAAAD3vSCjAAABXklEQVR42u2YwW7EIAxEHdT/9vDl00O0LUlWwV4GpaqY20psMtgP28RsaWlpKSqQJOSPLU/vK2nA5Qa28Eom109KAR4zgL/BgD3HANPQTIoAHjIAM6v1PzIQRoAkjCRD8QJJQG3AggbAl3QWsL8akYeylZKBmjuv736NIhDJQRN6MMpMFIGAARxWyDj4eWwXgpPDfgiKFgGcFtZu7YwZ8OhQgjqvDEVjevmnIALIxDTZuoq4CsxpRj57Mo0jEIMAh2o8zgBymQVdnYIWgS4LzGXo65PbiKPTi6qWl2Pa7yE49R8oGMCxyd9CgPTgLJ4JPV0xysfvEQ3uZfBtwyWzxBDYGmV26aIU1HldoZgaAlff467n/qYSnM695HLw3gA643NzQxgsRLhmvXZo8ddUPrMQ+d2ZcQJ7T9w0CMDCEBxvZhNmwj7g22/njuxf/tltN+dWp33WWlpaWlpaEusbRfUXfI+rgLsAAAAASUVORK5CYII=",True,<PIL.Image.Image image mode=L size=256x256 at 0x7958E393C290>,15.468546,39.423702,9.238964,0.0,0.0,13.281078,0.0,11.93961,16.366575,0.0,0.0,5.3238134,6.595107,0.0,15.468588,13.302718,15.349206,20.928719,14.66098,26.355751,0.0,27.387138,11.314206,15.693186,17.816296,15.619731,0.0,14.666152,12.08513,0.0,15.404134,5.9206104,0.0,12.342245,11.902323,0.0,12.321996,54.873207,14.447435,9.524505,49.296646,0.0,31.139637,30.72536,0.0,8.405385,3.910778,9.201291,13.570254,12.459489,0.0,19.887861,0.0,19.93385,0.0,15.208597,0.0,14.107781,27.552704,29.422516,12.124907,15.697016,21.907883,10.836663
Astloch,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAIAAAABACAAAAAD3vSCjAAABtElEQVR42u1YS7LEIAgkqXdvm5MzC/PRRKJGNIsnm0nFSXVLIyBE06ZN+9iWgv+AHBERExILS3eKEBEBtp/rCgbAH6hABDgA/Y4CkfPxA/yAwRj8BMrOAEJDCKikhjiARLSXZgqs9Z9s+eA7D5CItmLuAa54m4whNEuAOm4XVznXSGCrAm+PEHNzEDK91hqOYZIJkA5ClMRvQbbKxgA7eaE/hBejPICbChjm/qAi35z7KMGRJFol8NDg6Cwgq4AYtUlnwxNFot/VgweCbbeVzMDzuD3qBELQJglAZyAFaC4bhGwUe9EeIRdf6B4QsvGAAuCsy3BlP5A/AuhDwPVIMBUS7Bs/BBjdER+dMNLJUYs7ozywwx2ZCYIRBMjfCUNYEoHnM4QA+RvpjuWLkHh/mBH4ez5SuJaYBcY38rU2A4CXTxLRmQG+yYQdMlAVgX74ZQQ64pe2RoW3xhfHcC3Zf+Lg8TgJtINfIoozIKDgF8WEdNJfvbPFskPQPkiCPohQVuLusXWQ84Cv9gR71yqwqMeouLKFOz+YN41ysrNYjUE4Q25hkJ/wQPsQ79vkadOmTft39gMzajOVFtAtwQAAAABJRU5ErkJggg==",True,<PIL.Image.Image image mode=L size=256x256 at 0x7958E393D610>,5.6061563,20.435469,0.0,0.0,0.0,0.0,0.0,14.333,10.133795,0.0,30.359016,4.3784904,0.0,0.0,1.9175327,8.606897,9.708873,8.220871,9.144091,19.67758,0.0,2.191135,6.276745,4.503388,10.701637,12.090045,0.0,8.710766,0.0,0.0,0.0,10.672333,0.0,18.475763,12.754396,0.0,0.94664466,19.493595,3.3174887,5.037124,14.572608,0.0,13.533452,11.541129,0.0,3.151853,11.236336,0.0,3.647305,7.905627,0.0,12.349992,0.0,11.894051,0.0,3.9484124,0.0,5.4455867,14.722771,24.457325,6.3123875,4.6433973,8.982517,2.203272
Abril_Fatface,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAIAAAABACAAAAAD3vSCjAAABfElEQVR42u1YXW/EIAzj0P53zS/PHqZphOPDgTA0DT+c1Cu0xkmcQggXFxcXF/8dL3okst8jBMQ4nkS0CeCPaBx/LgRijpmvAtglAUvgOV2GMlE3ngpgWxrGwxFgU1AynPWBjZbUTcF9EkRyzWmXBNFbdgDyLRjgFoEQuBhARARZ2sKnBqALofnUjN94sEEACRyBXCD45Sy+XjiOAeoEsE7gzYzQE0BKxVar4Fl1ZrhEgIiBvi1cDCK/gm1eRJgA15H0kr28Gz8KyigN1Qu9CGTTx3WA7JYTgUwA41cBOfZjtorwS3koLcBJAUMEqBgAeCe7bsNkHSj/9yFQTO5LoPuPCwEU6+wSQMuKxU2AfgxkygkHvSB1rh9Tz8MMgclnmvZWsT8Jbq09TRBAZVZiP0tAMo8rNrnbjavp264D/T90FYiDCYysQPmAtmS0W8erLe8TUikzisgnfXSR3UpQl/ZzFdRkxqArFnsBamvgfeqG2pnaiROFi4uLv4NPr0TNRamYxfAAAAAASUVORK5CYII=",False,<PIL.Image.Image image mode=L size=256x256 at 0x79597367B3B0>,26.36634,9.751203,22.80854,0.0,0.0,34.794228,0.0,107.005394,45.240295,0.0,42.911587,32.040943,42.924503,0.0,37.221214,7.972751,13.103186,8.610921,6.648858,33.62011,0.0,28.217499,35.516933,24.639769,12.7516985,70.34099,0.0,20.381128,35.04368,0.0,21.511824,21.017845,0.0,33.5044,15.523949,0.0,5.4463024,29.68673,16.717554,18.62614,35.157562,0.0,59.614845,18.463282,0.0,13.954528,3.3745353,37.465004,18.713108,25.381876,0.0,9.472881,0.0,18.214033,0.0,27.004553,0.0,44.12631,48.707848,21.237133,5.612454,21.948187,7.8419123,14.371783
Anek_Malayalam,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAIAAAABACAAAAAD3vSCjAAABb0lEQVR42u1YW5KDMAwLdO8d+WTbm3k/KG1a8rCxgZmu9dUpCU4sS3FIKRAIBAL/HZNwHCq/zgR4hXf8WTshOy/gJhv2W5B2vyADB/I+qws2X1GDS/09ShFXZYCuM4vnzh+ZON2IeB2KLJiDtU7IrXif1I+L4OVYjvVShB1w8BHeawl4RR0sgPmQFRRR+xygtgA2yxCFCAXbIZoWkJeNvu26uyl85AY+sn17S5cD1KfCRgHkNogd5qntB6A6kODmQlyvCLmFNfFz6BnibINJ4kXLJEBqRcMMqPsPOHcsXIfGDE0yhJKv7N3DoJEBHtweAKEKdjJQf+v2kbkIoVcd6TYs8wHaCiPjlDtEle8WB5XBVhXA2J8LsjGrCdA4VLYuINtYlrQi855EUu9vLuJb+4F+L9LKLwMpAcx2RTTP/oYZbs3K6IRN020IERu7tskQ2osySH/vnHeKsF4EKGKS7APclLyBoz/qBAKBQODb8AfyavKner3lkQAAAABJRU5ErkJggg==",False,<PIL.Image.Image image mode=L size=256x256 at 0x7958E393CE00>,17.852404,3.8643029,21.371769,0.0,0.0,17.407047,0.0,24.700527,20.784616,0.0,5.881488,23.05158,0.0,0.0,25.807755,21.0541,12.574608,18.180601,22.639082,1.6417564,0.0,11.5763235,24.268827,23.916279,16.950287,23.851965,0.0,18.815554,16.871557,0.0,19.601917,24.298782,0.0,0.0,12.305754,0.0,26.740723,4.0699663,20.38859,16.671808,54.863518,0.0,2.5434744,36.051666,0.0,19.59651,10.308612,23.10656,18.463278,24.233662,0.0,13.694985,0.0,30.354662,0.0,18.861961,0.0,19.909077,6.7960687,14.0601845,19.628254,20.828909,6.6336656,26.082756
Alatsi,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAIAAAABACAAAAAD3vSCjAAABeUlEQVR42u1YW47DIAw0bA/Wm3U42W5ORj+aTckDsIOtNpLno5UaNzIz44GEyOFwOBwXAvDhBnI2uGkUEEBkQEEQECArV2cAy8enJLBBEClgoEEUKWCgQZARoE9BlBGgT8FlTJjPJAcHN6ECzB1BPTRyge6W9S5VawFlA+AWKrawvim3Tq8DDDTQ60AyhulUFDzal3849/h9fU3TnYiI7qk61K+CNE3/tUQU/rQUWChGSwNs/wYtC+KtMe/YCM7cRlEIdV1gcm4tFyJjlZdcAgWYrIoaiBIFOj8a7YbrkwjvXILV+AcVB4A9W7v9QM+CHBsehLHOPsQbbmRpA5FpwcTz5sPggXS7isa6lvXPeaQgwSGlVRfkY7/onUQ60u7sMe4BnLmYvua5AHoW5GlQiYwBCXBuhZjb0SMAldGoEoby4SCPzyCzsZ1i0DkR7W2deIXJSIGGvTZJhTEJUNew2to6KQcbaGQuumlYbgZKL6kk+QNyOByO6+AJUom72+vlsDQAAAAASUVORK5CYII=",True,<PIL.Image.Image image mode=L size=256x256 at 0x7958E42F64E0>,22.586973,17.85744,22.734016,0.0,0.0,25.030657,0.0,40.412514,19.782217,0.0,3.4163551,18.37613,30.388668,0.0,30.290382,18.792564,17.79881,13.150517,20.274275,32.352486,0.0,27.943922,14.68449,25.161629,19.823988,20.940493,0.0,21.083397,25.837051,0.0,18.51278,11.569227,0.0,19.364948,3.895417,0.0,18.324034,44.632675,29.788254,29.907059,62.689445,0.0,44.00586,13.508803,0.0,19.507711,23.911348,25.066822,21.047405,22.666548,0.0,22.647865,0.0,21.815401,0.0,19.531109,0.0,22.282469,23.16314,17.676548,13.066558,26.784391,30.329313,24.86844
Athiti,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAIAAAABACAAAAAD3vSCjAAABaklEQVR42u1YW3LEIAwTNAdrT2b5ZNub0Y80bdjCxiROMtOxvvZBwFiyDAECgUAgEAgEbGCZQe+J8+B48Q7gzTjusXxIn74BJCMDAui8/3SLBEop5VsJvEsDencNcJWJy0X4APABAOndW4bTKQwQAkBBbwZMHCye5UjXaqrNOig16FEFHGCgAFBNKSVVN+esdr2R2GrTXrZRrbkxaf2vQQbZxsBYCTibF0d2RbKfEA8G5q8ceJa+5wH3npB3FaFcGYC0NObXk6dhZTtjMi39J+XC7WfUMwPDndBPKKUNWnqhpR1lSw2kGq9yW2Q93KFkm9bfN8Pn0cedsLlWN7N8Hn2YAo6ZoYwbpcGKtRmWlxnm3VdBXhJAZyU1e8LBAHjsnkw5pQhfFGL9M48bkeyg5vcALzA40bS5RHMHKv2cl+Uib7rJ5/38SPd1g4gAUNObhGmfBtlrtulHeGqr0zPed/DUE0wgEAj8O3wB3SAJLu3UtjUAAAAASUVORK5CYII=",True,<PIL.Image.Image image mode=L size=256x256 at 0x7958E393D670>,13.660687,7.8596034,11.36023,0.0,0.0,7.9567533,0.0,52.284294,10.351572,0.0,34.972332,14.224106,1.2053015,0.0,16.679028,14.248255,8.686077,4.5168962,10.822013,33.009075,0.0,12.280579,0.0,13.8925705,8.926466,5.271496,0.0,10.068531,8.052209,0.0,10.154875,14.988433,0.0,0.13189685,10.00234,0.0,9.8431015,24.255028,10.917705,14.361821,53.318367,0.0,0.066018224,11.4176445,0.0,7.573734,6.8128395,15.108461,11.246099,16.678127,0.0,10.154473,0.0,5.9664645,0.0,9.483198,0.0,12.8796,0.0,17.559015,12.286708,12.323598,9.35237,9.494073
AR_One_Sans,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAIAAAABACAAAAAD3vSCjAAABj0lEQVR42u1YW5LDIAwzbA+2N4s4WduTaT/S7eQBsQE3mc6gn34UEmHLsonIwMDAwMDA14AkSXg/NtgJ1G6wIVoXYvN7OoHpYgWAJEGSV0Vgl4uTRUgRkUB/GcaKY6dP5PbHtuwuIvJ8hF8RCY+rXOglRV5WA/9EcL4G3iagywBzlHyNexF5JQfcwc8HUpsVuERhcRRFhswAnhnQZEgSWO9zqJrVO3FIAMhQh2cAKq3AxTg2Z647lEogVpiA1Qp2q9FFALnK8xtPYqMJuA+nxhqoF5ammFt9BjBlCi4/MxnidDNJsEJ4WOpj6p+ewBLsXkz0i9A4nKLec7QYsWor3zWDmeKcjoQPZCCXg4z1o7MZHLw/89gcLw8NpLBFyrph0+we623Y944Um0wAfje32HYNTG4dKTYWvPKPEwHNhg0h6JqGjtoeSiVHx6HwcKbNPXnrDzD0gqCFr2Sjc1MOJSteZyi4Z6AQXOzdsmMspuEShOPeAekgoOmnwG97OdY+bHl/d1xYwYlz68DAwFfjD3ll/OTk+mVoAAAAAElFTkSuQmCC",False,<PIL.Image.Image image mode=L size=256x256 at 0x795972DEA300>,13.606816,0.0,19.89793,0.0,0.0,13.889301,0.0,54.05698,23.484385,0.0,60.065052,17.227884,17.634998,0.0,24.721584,11.422627,11.970541,17.051966,15.116579,15.194887,0.0,12.388587,20.371075,24.266397,12.485893,5.1543393,0.0,13.756232,21.817865,0.0,14.810654,9.577192,0.0,26.003992,0.0,0.0,1.0744622,12.389474,19.680214,15.586735,43.925888,0.0,14.892096,0.0,0.0,10.894792,2.542212,11.352798,17.684679,13.48253,0.0,23.494917,0.0,9.748731,0.0,16.249836,0.0,29.947744,20.26059,0.0,22.652733,22.781471,17.666641,18.690136
Azeret_Mono,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAIAAAABACAAAAAD3vSCjAAABk0lEQVR42u1YUZbDIAjUbA/WPZnjzXoz9mPXPtOIQiCbH+Yj71UNwQEHaUqBQCAQCEgBIoK/2SxeSbrlUmx3Eyt2AN3zFhARiMjd7peUgGdK3/mZ8uu+HKiXMJvlZyC35x0M4E0CVC94hkAaAYCIqJCvbrX8X54D0A5eLqCZwsLm71fRUQE3EXhvUFEuvOpH99mpxeOkkwcd8bMYDD/mop69Zd7g2Dc4ULALPM8p49qCgk0rAlUrFdVeQ/d74HYEbqfzGAgYgPuODCm4lAI1A+oI6A+WNQT4TC7fGDyWK8poDHOPi3M7IFE8phwua+JDJQJ/v/kNorQXsG8oTCk4wqQcwvUUgHEA8u7NHgKxs+WC3m3MNjsKbx0Am5bDmaqP9rYUgSqVh0sqBJfvo3GmHMISAnAEKOS4WEJQzhuWytC2SkFoZjAYqTYVgmJqkBggsighze/gorYABgemdx8aU4CjMsMiRFU1U1MqXQtTTimT+O7FSMGxZp5mAEtyDiuQe2KqpDL5//PY3Prnu3sgEAicxg+0lH0pvKc7MAAAAABJRU5ErkJggg==",False,<PIL.Image.Image image mode=L size=256x256 at 0x7958E393D940>,12.725268,0.0,9.673025,0.0,0.0,13.80272,0.0,0.22235364,13.634647,0.0,35.81883,12.156048,20.522707,0.0,18.107746,6.413836,4.634277,1.0930023,2.956705,0.0,0.0,2.5908697,14.339442,10.980332,7.9285274,19.62846,0.0,4.3350716,1.7038066,0.0,14.274819,0.45620957,0.0,0.0,18.629162,0.0,14.366881,36.53593,21.767744,5.518674,23.57451,0.0,0.0,0.0,0.0,5.887015,0.0,18.32001,12.35231,7.949976,0.0,8.259219,0.0,13.123865,0.0,16.502163,0.0,2.4658248,10.239775,20.595724,0.68466556,14.062949,20.276781,9.110863
Baumans,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAIAAAABACAAAAAD3vSCjAAABHklEQVR42u1Y0Q6DMAjUpv/d48vdg9atZhFKQLKMezNZyvU45OayJBKJROJHAGxXwOTgKivf3G4mIrA5SlsE1/esLyDgKL+MQK9PtHbQkx449CcEmfCou4a1oDnX5wjsAlDsGJ59iCDQvAVgCGBxR7E9blhZgBEBrQ6tCTZm8RWYp1C8e9wQTIBjICXwkYhuf7a+QTRuM72pL+bujwJvCrKbSIFNewmyGUN9IgLfA2cT8hJU+Uma9xGf52QEpvIQ+goz2CT4buO7KcD414Ud3Gp7//kIbbuMFBHedgoU74tqWR9Dy/A8gTFCI6AFigRpTwDRBJa/V6AFEtj9N/fxqDio34b49GgLKNqEoOgpwPTnG/MpwBnHE4lEIvEjeAFXqaCLdtks8QAAAABJRU5ErkJggg==",True,<PIL.Image.Image image mode=L size=256x256 at 0x7958E393E1E0>,17.934935,0.0,22.482092,0.0,0.0,1.1160166,0.0,31.078165,23.170588,0.0,23.139017,22.2886,23.70529,0.0,18.38425,25.362787,11.371389,7.1112375,6.0111628,23.898323,0.0,4.1393633,10.796138,17.180826,10.874797,0.0,0.0,5.5891743,34.66077,0.0,21.792479,22.388699,0.0,23.594072,9.987804,0.0,25.54752,42.405003,34.554886,26.09442,40.839134,0.0,29.794672,7.0682564,0.0,13.058253,43.721127,14.431655,11.500158,15.353485,0.0,21.094475,0.0,21.456507,0.0,14.8024645,0.0,7.444456,0.0,31.927713,11.249186,17.57463,9.634056,22.460426
Anek_Latin,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAIAAAABACAAAAAD3vSCjAAABb0lEQVR42u1YW5KDMAwLdO8d+WTbm3k/KG1a8rCxgZmu9dUpCU4sS3FIKRAIBAKB/45JOA6VX2cCvMI7/qydkJ0XcJMN+y1Iu1+QgQN5n9UFm6+owaX+HqWIqzJA15nFc+ePTJxuRLwORRbMwVon5Fa8T+rHRfByLMd6KcIOOPgI77UEvKIOFsB8yAqKqH0OUFsAm2WIQoSC7RBNC8jLRt923d0UPnIDH9m+vaXLAepTYaMAchvEDvPU9gNQHUhwcyGuV4Tcwpr4OfQMcbbBJPGiZRIgtaJhBtT9B5w7Fq5DY4YmGULJV/buYdDIAA9uD4BQBTsZqL91+8hchNCrjnQblvkAbYWRccodosp3i4PKYKsKYOzPBdmY1QRoHCpbF5BtLEtakXlPIqn3Nxfxrf1Avxdp5ZeBlABmuyKaZ3/DDLdmZXTCpuk2hIiNXdtkCO1FGaS/d847RVgvAhQxSfYBbkrewNEfdQKBQODb8AdY0vKnreqfygAAAABJRU5ErkJggg==",False,<PIL.Image.Image image mode=L size=256x256 at 0x7958E393CDD0>,17.749035,4.3149495,19.870626,0.0,0.0,13.826801,0.0,69.62729,20.172544,0.0,31.95067,21.811853,0.0,0.0,23.433456,21.926226,13.431067,16.134415,21.637535,27.388498,0.0,14.532658,15.765352,20.74386,15.170338,16.103533,0.0,15.348104,14.556064,0.0,21.279924,26.407883,0.0,1.97279,5.085933,0.0,24.605776,17.311321,19.631775,15.907372,68.567184,0.0,0.0,13.531688,0.0,15.782801,11.316409,21.58804,18.374123,23.841515,0.0,14.774474,0.0,22.201473,0.0,21.521381,0.0,16.601513,1.7299995,5.9969783,18.266785,20.144127,8.142631,22.933641
